case_number,specimen_id,sweep_number,recording_selection,model_condition,metric,value,status,non_evaluable_reason,non_evaluable_category,applicability_rule
1,314822529,44,method_development_raw_label,glif_stored_grid,absolute_spike_count_error,0,calculated,,calculated,unconditional
1,314822529,44,method_development_raw_label,glif_stored_grid,absolute_first_spike_latency_error_ms,,non_evaluable,no_in_window_spike,conditional_spike_absence,conditional_on_recording_and_model_spikes
1,314822529,44,method_development_raw_label,glif_stored_grid,absolute_steady_state_delta_voltage_error_mV,0.4125373234716359,calculated,,calculated,long_square_coverage_contract
2,314822529,44,method_development_raw_label,glif_recording_grid,absolute_spike_count_error,0,calculated,,calculated,unconditional
2,314822529,44,method_development_raw_label,glif_recording_grid,absolute_first_spike_latency_error_ms,,non_evaluable,no_in_window_spike,conditional_spike_absence,conditional_on_recording_and_model_spikes
2,314822529,44,method_development_raw_label,glif_recording_grid,absolute_steady_state_delta_voltage_error_mV,0.4125373234656893,calculated,,calculated,long_square_coverage_contract
3,314822529,44,method_development_raw_label,perisomatic_recording_grid_playback,absolute_spike_count_error,0,calculated,,calculated,unconditional
3,314822529,44,method_development_raw_label,perisomatic_recording_grid_playback,absolute_first_spike_latency_error_ms,,non_evaluable,no_in_window_spike,conditional_spike_absence,conditional_on_recording_and_model_spikes
3,314822529,44,method_development_raw_label,perisomatic_recording_grid_playback,absolute_steady_state_delta_voltage_error_mV,2.747038918710726,calculated,,calculated,long_square_coverage_contract
4,314822529,17,method_development_raw_label,glif_stored_grid,absolute_spike_count_error,1,calculated,,calculated,unconditional
4,314822529,17,method_development_raw_label,glif_stored_grid,absolute_first_spike_latency_error_ms,,non_evaluable,no_in_window_spike,conditional_spike_absence,conditional_on_recording_and_model_spikes
4,314822529,17,method_development_raw_label,glif_stored_grid,absolute_steady_state_delta_voltage_error_mV,,non_evaluable,not_applicable_to_protocol,protocol_structural,long_square_coverage_contract
5,314822529,17,method_development_raw_label,glif_recording_grid,absolute_spike_count_error,1,calculated,,calculated,unconditional
5,314822529,17,method_development_raw_label,glif_recording_grid,absolute_first_spike_latency_error_ms,,non_evaluable,no_in_window_spike,conditional_spike_absence,conditional_on_recording_and_model_spikes
5,314822529,17,method_development_raw_label,glif_recording_grid,absolute_steady_state_delta_voltage_error_mV,,non_evaluable,not_applicable_to_protocol,protocol_structural,long_square_coverage_contract
6,314822529,17,method_development_raw_label,perisomatic_recording_grid_playback,absolute_spike_count_error,1,calculated,,calculated,unconditional
6,314822529,17,method_development_raw_label,perisomatic_recording_grid_playback,absolute_first_spike_latency_error_ms,,non_evaluable,no_in_window_spike,conditional_spike_absence,conditional_on_recording_and_model_spikes
6,314822529,17,method_development_raw_label,perisomatic_recording_grid_playback,absolute_steady_state_delta_voltage_error_mV,,non_evaluable,not_applicable_to_protocol,protocol_structural,long_square_coverage_contract
7,314822529,75,method_development_raw_label,glif_stored_grid,absolute_spike_count_error,3,calculated,,calculated,unconditional
7,314822529,75,method_development_raw_label,glif_stored_grid,absolute_first_spike_latency_error_ms,,non_evaluable,no_in_window_spike,conditional_spike_absence,conditional_on_recording_and_model_spikes
7,314822529,75,method_development_raw_label,glif_stored_grid,absolute_steady_state_delta_voltage_error_mV,,non_evaluable,not_applicable_to_protocol,protocol_structural,long_square_coverage_contract
8,314822529,75,method_development_raw_label,glif_recording_grid,absolute_spike_count_error,3,calculated,,calculated,unconditional
8,314822529,75,method_development_raw_label,glif_recording_grid,absolute_first_spike_latency_error_ms,,non_evaluable,no_in_window_spike,conditional_spike_absence,conditional_on_recording_and_model_spikes
8,314822529,75,method_development_raw_label,glif_recording_grid,absolute_steady_state_delta_voltage_error_mV,,non_evaluable,not_applicable_to_protocol,protocol_structural,long_square_coverage_contract
9,314822529,75,method_development_raw_label,perisomatic_recording_grid_playback,absolute_spike_count_error,2,calculated,,calculated,unconditional
9,314822529,75,method_development_raw_label,perisomatic_recording_grid_playback,absolute_first_spike_latency_error_ms,20.030000005228032,calculated,,calculated,conditional_on_recording_and_model_spikes
9,314822529,75,method_development_raw_label,perisomatic_recording_grid_playback,absolute_steady_state_delta_voltage_error_mV,,non_evaluable,not_applicable_to_protocol,protocol_structural,long_square_coverage_contract
10,314822529,66,method_development_raw_label,glif_stored_grid,absolute_spike_count_error,6,calculated,,calculated,unconditional
10,314822529,66,method_development_raw_label,glif_stored_grid,absolute_first_spike_latency_error_ms,,non_evaluable,no_in_window_spike,conditional_spike_absence,conditional_on_recording_and_model_spikes
10,314822529,66,method_development_raw_label,glif_stored_grid,absolute_steady_state_delta_voltage_error_mV,3.282761642026698,calculated,,calculated,long_square_coverage_contract
11,314822529,66,method_development_raw_label,glif_recording_grid,absolute_spike_count_error,6,calculated,,calculated,unconditional
11,314822529,66,method_development_raw_label,glif_recording_grid,absolute_first_spike_latency_error_ms,,non_evaluable,no_in_window_spike,conditional_spike_absence,conditional_on_recording_and_model_spikes
11,314822529,66,method_development_raw_label,glif_recording_grid,absolute_steady_state_delta_voltage_error_mV,3.2827616420148114,calculated,,calculated,long_square_coverage_contract
12,314822529,66,method_development_raw_label,perisomatic_recording_grid_playback,absolute_spike_count_error,7,calculated,,calculated,unconditional
12,314822529,66,method_development_raw_label,perisomatic_recording_grid_playback,absolute_first_spike_latency_error_ms,12.100000001571187,calculated,,calculated,conditional_on_recording_and_model_spikes
12,314822529,66,method_development_raw_label,perisomatic_recording_grid_playback,absolute_steady_state_delta_voltage_error_mV,4.453460345144225,calculated,,calculated,long_square_coverage_contract
13,324493977,46,long_square_first_spiking,glif_stored_grid,absolute_spike_count_error,1,calculated,,calculated,unconditional
13,324493977,46,long_square_first_spiking,glif_stored_grid,absolute_first_spike_latency_error_ms,,non_evaluable,no_in_window_spike,conditional_spike_absence,conditional_on_recording_and_model_spikes
13,324493977,46,long_square_first_spiking,glif_stored_grid,absolute_steady_state_delta_voltage_error_mV,4.080681705127084,calculated,,calculated,long_square_coverage_contract
14,324493977,46,long_square_first_spiking,glif_recording_grid,absolute_spike_count_error,1,calculated,,calculated,unconditional
14,324493977,46,long_square_first_spiking,glif_recording_grid,absolute_first_spike_latency_error_ms,,non_evaluable,no_in_window_spike,conditional_spike_absence,conditional_on_recording_and_model_spikes
14,324493977,46,long_square_first_spiking,glif_recording_grid,absolute_steady_state_delta_voltage_error_mV,4.080681705132573,calculated,,calculated,long_square_coverage_contract
15,324493977,46,long_square_first_spiking,perisomatic_recording_grid_playback,absolute_spike_count_error,1,calculated,,calculated,unconditional
15,324493977,46,long_square_first_spiking,perisomatic_recording_grid_playback,absolute_first_spike_latency_error_ms,,non_evaluable,no_in_window_spike,conditional_spike_absence,conditional_on_recording_and_model_spikes
15,324493977,46,long_square_first_spiking,perisomatic_recording_grid_playback,absolute_steady_state_delta_voltage_error_mV,12.750317671613775,calculated,,calculated,long_square_coverage_contract
16,324493977,16,short_square_first_spiking,glif_stored_grid,absolute_spike_count_error,0,calculated,,calculated,unconditional
16,324493977,16,short_square_first_spiking,glif_stored_grid,absolute_first_spike_latency_error_ms,,non_evaluable,no_in_window_spike,conditional_spike_absence,conditional_on_recording_and_model_spikes
16,324493977,16,short_square_first_spiking,glif_stored_grid,absolute_steady_state_delta_voltage_error_mV,,non_evaluable,not_applicable_to_protocol,protocol_structural,long_square_coverage_contract
17,324493977,16,short_square_first_spiking,glif_recording_grid,absolute_spike_count_error,0,calculated,,calculated,unconditional
17,324493977,16,short_square_first_spiking,glif_recording_grid,absolute_first_spike_latency_error_ms,,non_evaluable,no_in_window_spike,conditional_spike_absence,conditional_on_recording_and_model_spikes
17,324493977,16,short_square_first_spiking,glif_recording_grid,absolute_steady_state_delta_voltage_error_mV,,non_evaluable,not_applicable_to_protocol,protocol_structural,long_square_coverage_contract
18,324493977,16,short_square_first_spiking,perisomatic_recording_grid_playback,absolute_spike_count_error,0,calculated,,calculated,unconditional
18,324493977,16,short_square_first_spiking,perisomatic_recording_grid_playback,absolute_first_spike_latency_error_ms,,non_evaluable,no_in_window_spike,conditional_spike_absence,conditional_on_recording_and_model_spikes
18,324493977,16,short_square_first_spiking,perisomatic_recording_grid_playback,absolute_steady_state_delta_voltage_error_mV,,non_evaluable,not_applicable_to_protocol,protocol_structural,long_square_coverage_contract
19,324493977,69,short_square_triple_first_spiking,glif_stored_grid,absolute_spike_count_error,2,calculated,,calculated,unconditional
19,324493977,69,short_square_triple_first_spiking,glif_stored_grid,absolute_first_spike_latency_error_ms,5.74276701959775,calculated,,calculated,conditional_on_recording_and_model_spikes
19,324493977,69,short_square_triple_first_spiking,glif_stored_grid,absolute_steady_state_delta_voltage_error_mV,,non_evaluable,not_applicable_to_protocol,protocol_structural,long_square_coverage_contract
20,324493977,69,short_square_triple_first_spiking,glif_recording_grid,absolute_spike_count_error,1,calculated,,calculated,unconditional
20,324493977,69,short_square_triple_first_spiking,glif_recording_grid,absolute_first_spike_latency_error_ms,5.747017137424315,calculated,,calculated,conditional_on_recording_and_model_spikes
20,324493977,69,short_square_triple_first_spiking,glif_recording_grid,absolute_steady_state_delta_voltage_error_mV,,non_evaluable,not_applicable_to_protocol,protocol_structural,long_square_coverage_contract
21,324493977,69,short_square_triple_first_spiking,perisomatic_recording_grid_playback,absolute_spike_count_error,0,calculated,,calculated,unconditional
21,324493977,69,short_square_triple_first_spiking,perisomatic_recording_grid_playback,absolute_first_spike_latency_error_ms,0.17500000516834646,calculated,,calculated,conditional_on_recording_and_model_spikes
21,324493977,69,short_square_triple_first_spiking,perisomatic_recording_grid_playback,absolute_steady_state_delta_voltage_error_mV,,non_evaluable,not_applicable_to_protocol,protocol_structural,long_square_coverage_contract
22,324493977,37,long_square_prethreshold_candidate,glif_stored_grid,absolute_spike_count_error,0,calculated,,calculated,unconditional
22,324493977,37,long_square_prethreshold_candidate,glif_stored_grid,absolute_first_spike_latency_error_ms,,non_evaluable,no_in_window_spike,conditional_spike_absence,conditional_on_recording_and_model_spikes
22,324493977,37,long_square_prethreshold_candidate,glif_stored_grid,absolute_steady_state_delta_voltage_error_mV,1.3109390549452815,calculated,,calculated,long_square_coverage_contract
23,324493977,37,long_square_prethreshold_candidate,glif_recording_grid,absolute_spike_count_error,0,calculated,,calculated,unconditional
23,324493977,37,long_square_prethreshold_candidate,glif_recording_grid,absolute_first_spike_latency_error_ms,,non_evaluable,no_in_window_spike,conditional_spike_absence,conditional_on_recording_and_model_spikes
23,324493977,37,long_square_prethreshold_candidate,glif_recording_grid,absolute_steady_state_delta_voltage_error_mV,1.3109390549507771,calculated,,calculated,long_square_coverage_contract
24,324493977,37,long_square_prethreshold_candidate,perisomatic_recording_grid_playback,absolute_spike_count_error,0,calculated,,calculated,unconditional
24,324493977,37,long_square_prethreshold_candidate,perisomatic_recording_grid_playback,absolute_first_spike_latency_error_ms,,non_evaluable,no_in_window_spike,conditional_spike_absence,conditional_on_recording_and_model_spikes
24,324493977,37,long_square_prethreshold_candidate,perisomatic_recording_grid_playback,absolute_steady_state_delta_voltage_error_mV,9.294543296054128,calculated,,calculated,long_square_coverage_contract
25,473943881,41,long_square_first_spiking,glif_stored_grid,absolute_spike_count_error,2,calculated,,calculated,unconditional
25,473943881,41,long_square_first_spiking,glif_stored_grid,absolute_first_spike_latency_error_ms,,non_evaluable,no_in_window_spike,conditional_spike_absence,conditional_on_recording_and_model_spikes
25,473943881,41,long_square_first_spiking,glif_stored_grid,absolute_steady_state_delta_voltage_error_mV,4.207219319733252,calculated,,calculated,long_square_coverage_contract
