case_number,specimen_id,analytical_stratum,sweep_number,recording_selection,stimulus_label,model_condition,model_family,model_id,model_dt_s,recorded_stimulus_window_spike_count,model_stimulus_window_spike_count,absolute_spike_count_error,absolute_first_spike_latency_error_ms,latency_status,latency_non_evaluable_reason,absolute_steady_state_delta_voltage_error_mV,steady_state_status,steady_state_non_evaluable_reason,recording_baseline_coverage,recording_steady_state_coverage,model_baseline_coverage,model_steady_state_coverage,fitting_exposure_status
1,314822529,method_development,44,method_development_raw_label,Long Square,glif_stored_grid,glif,566282269,0.00005,0,0,0,,non_evaluable,no_in_window_spike,0.4125373234716359,calculated,,1.0,1.0,1.0,1.0,sweep_exposure_during_fitting_unknown
2,314822529,method_development,44,method_development_raw_label,Long Square,glif_recording_grid,glif,566282269,0.000005,0,0,0,,non_evaluable,no_in_window_spike,0.4125373234656893,calculated,,1.0,1.0,1.0,1.0,sweep_exposure_during_fitting_unknown
3,314822529,method_development,44,method_development_raw_label,Long Square,perisomatic_recording_grid_playback,perisomatic,471087975,0.000025,0,0,0,,non_evaluable,no_in_window_spike,2.747038918710726,calculated,,1.0,1.0,1.0,1.0,sweep_exposure_during_fitting_unknown
4,314822529,method_development,17,method_development_raw_label,Short Square,glif_stored_grid,glif,566282269,0.00005,1,0,1,,non_evaluable,no_in_window_spike,,non_evaluable,not_applicable_to_protocol,,,,,sweep_exposure_during_fitting_unknown
5,314822529,method_development,17,method_development_raw_label,Short Square,glif_recording_grid,glif,566282269,0.000005,1,0,1,,non_evaluable,no_in_window_spike,,non_evaluable,not_applicable_to_protocol,,,,,sweep_exposure_during_fitting_unknown
6,314822529,method_development,17,method_development_raw_label,Short Square,perisomatic_recording_grid_playback,perisomatic,471087975,0.000025,1,0,1,,non_evaluable,no_in_window_spike,,non_evaluable,not_applicable_to_protocol,,,,,sweep_exposure_during_fitting_unknown
7,314822529,method_development,75,method_development_raw_label,Short Square - Triple,glif_stored_grid,glif,566282269,0.00005,3,0,3,,non_evaluable,no_in_window_spike,,non_evaluable,not_applicable_to_protocol,,,,,sweep_exposure_during_fitting_unknown
8,314822529,method_development,75,method_development_raw_label,Short Square - Triple,glif_recording_grid,glif,566282269,0.000005,3,0,3,,non_evaluable,no_in_window_spike,,non_evaluable,not_applicable_to_protocol,,,,,sweep_exposure_during_fitting_unknown
9,314822529,method_development,75,method_development_raw_label,Short Square - Triple,perisomatic_recording_grid_playback,perisomatic,471087975,0.000025,3,1,2,20.030000005228032,calculated,,,non_evaluable,not_applicable_to_protocol,,,,,sweep_exposure_during_fitting_unknown
10,314822529,method_development,66,method_development_raw_label,Square - 2s Suprathreshold,glif_stored_grid,glif,566282269,0.00005,6,0,6,,non_evaluable,no_in_window_spike,3.282761642026698,calculated,,1.0,1.0,1.0,1.0,sweep_exposure_during_fitting_unknown
11,314822529,method_development,66,method_development_raw_label,Square - 2s Suprathreshold,glif_recording_grid,glif,566282269,0.000005,6,0,6,,non_evaluable,no_in_window_spike,3.2827616420148114,calculated,,1.0,1.0,1.0,1.0,sweep_exposure_during_fitting_unknown
12,314822529,method_development,66,method_development_raw_label,Square - 2s Suprathreshold,perisomatic_recording_grid_playback,perisomatic,471087975,0.000025,6,13,7,12.100000001571187,calculated,,4.453460345144225,calculated,,1.0,0.976,1.0,0.9759,sweep_exposure_during_fitting_unknown
13,324493977,evaluation,46,long_square_first_spiking,Long Square,glif_stored_grid,glif,566284334,0.00005,1,0,1,,non_evaluable,no_in_window_spike,4.080681705127084,calculated,,1.0,1.0,1.0,1.0,sweep_exposure_during_fitting_unknown
14,324493977,evaluation,46,long_square_first_spiking,Long Square,glif_recording_grid,glif,566284334,0.000005,1,0,1,,non_evaluable,no_in_window_spike,4.080681705132573,calculated,,1.0,1.0,1.0,1.0,sweep_exposure_during_fitting_unknown
15,324493977,evaluation,46,long_square_first_spiking,Long Square,perisomatic_recording_grid_playback,perisomatic,472304676,0.000025,1,0,1,,non_evaluable,no_in_window_spike,12.750317671613775,calculated,,1.0,1.0,1.0,1.0,sweep_exposure_during_fitting_unknown
16,324493977,evaluation,16,short_square_first_spiking,Short Square,glif_stored_grid,glif,566284334,0.00005,0,0,0,,non_evaluable,no_in_window_spike,,non_evaluable,not_applicable_to_protocol,,,,,sweep_exposure_during_fitting_unknown
17,324493977,evaluation,16,short_square_first_spiking,Short Square,glif_recording_grid,glif,566284334,0.000005,0,0,0,,non_evaluable,no_in_window_spike,,non_evaluable,not_applicable_to_protocol,,,,,sweep_exposure_during_fitting_unknown
18,324493977,evaluation,16,short_square_first_spiking,Short Square,perisomatic_recording_grid_playback,perisomatic,472304676,0.000025,0,0,0,,non_evaluable,no_in_window_spike,,non_evaluable,not_applicable_to_protocol,,,,,sweep_exposure_during_fitting_unknown
19,324493977,evaluation,69,short_square_triple_first_spiking,Short Square - Triple,glif_stored_grid,glif,566284334,0.00005,3,1,2,5.74276701959775,calculated,,,non_evaluable,not_applicable_to_protocol,,,,,sweep_exposure_during_fitting_unknown
20,324493977,evaluation,69,short_square_triple_first_spiking,Short Square - Triple,glif_recording_grid,glif,566284334,0.000005,3,2,1,5.747017137424315,calculated,,,non_evaluable,not_applicable_to_protocol,,,,,sweep_exposure_during_fitting_unknown
21,324493977,evaluation,69,short_square_triple_first_spiking,Short Square - Triple,perisomatic_recording_grid_playback,perisomatic,472304676,0.000025,3,3,0,0.17500000516834646,calculated,,,non_evaluable,not_applicable_to_protocol,,,,,sweep_exposure_during_fitting_unknown
