case_id,specimen_id,sweep_number,recording_selection,stimulus_label,original_period_stability,original_period_failed_trajectories,original_configuration_reproduced,extended_period_converged,extended_period_equilibrium_ms,extended_period_stability,original_period_spikes,extended_period_spikes,maximum_event_shift_ms,original_period_steady_state_V,extended_period_steady_state_V,steady_state_shift_mV,material_change_criterion_met,case_summary
314822529_sweep_17_perisomatic_recording_grid_playback,314822529,17,short_square_first_spiking,Short Square,drifting,"[""gate_soma"",""i_membrane__soma""]",True,True,2999.9999999914057,stable,0,0,0.0,,,,False,drifting
314822529_sweep_44_perisomatic_recording_grid_playback,314822529,44,long_square_first_spiking,Long Square,drifting,"[""gate_soma"",""i_membrane__soma""]",True,True,2999.9999999914057,stable,0,0,0.0,-0.07616739664967981,-0.0911984918495562,15.031095199876388,True,materially changed
314822529_sweep_66_perisomatic_recording_grid_playback,314822529,66,square_2s_suprathreshold,Square - 2s Suprathreshold,drifting,"[""gate_soma"",""i_membrane__soma""]",True,True,2999.9999999914057,stable,13,0,,-0.06671757201001986,-0.09119836549816233,24.48079348814247,True,materially changed
314822529_sweep_75_perisomatic_recording_grid_playback,314822529,75,short_square_triple_first_spiking,Short Square - Triple,drifting,"[""gate_soma""]",True,True,2999.9999999914057,stable,1,0,,,,,True,materially changed
324493977_sweep_16_perisomatic_recording_grid_playback,324493977,16,short_square_first_spiking,Short Square,drifting,"[""gate_soma""]",True,True,2999.9999999914057,stable,0,0,0.0,,,,False,drifting
324493977_sweep_37_perisomatic_recording_grid_playback,324493977,37,long_square_prethreshold_candidate,Long Square,drifting,"[""gate_soma""]",True,True,2999.9999999914057,stable,0,0,0.0,-0.07071608465216678,-0.08589207760470485,15.175992952538076,True,materially changed
324493977_sweep_46_perisomatic_recording_grid_playback,324493977,46,long_square_first_spiking,Long Square,drifting,"[""gate_soma""]",True,True,2999.9999999914057,stable,0,0,0.0,-0.0692968621867726,-0.08589207760470485,16.595215417932256,True,materially changed
324493977_sweep_69_perisomatic_recording_grid_playback,324493977,69,short_square_triple_first_spiking,Short Square - Triple,drifting,"[""gate_soma""]",True,True,2999.9999999914057,stable,3,0,,,,,True,materially changed
471087830_sweep_15_perisomatic_recording_grid_playback,471087830,15,short_square_first_spiking,Short Square,drifting,"[""gate_soma""]",True,True,2999.9999999914057,stable,0,0,0.0,,,,False,drifting
471087830_sweep_48_perisomatic_recording_grid_playback,471087830,48,long_square_prethreshold_candidate,Long Square,drifting,"[""gate_soma""]",True,True,2999.9999999914057,stable,99,0,,-0.0659304211799865,-0.08961644269772759,23.68602151774109,True,materially changed
471087830_sweep_49_perisomatic_recording_grid_playback,471087830,49,long_square_first_spiking,Long Square,drifting,"[""gate_soma""]",True,True,2999.9999999914057,stable,105,0,,-0.0658404149092318,-0.08961644269772759,23.77602778849579,True,materially changed
471087830_sweep_90_perisomatic_recording_grid_playback,471087830,90,short_square_triple_first_spiking,Short Square - Triple,drifting,"[""gate_soma""]",True,True,2999.9999999914057,stable,2,0,,,,,True,materially changed
475585413_sweep_12_perisomatic_recording_grid_playback,475585413,12,short_square_first_spiking,Short Square,drifting,"[""gate_soma""]",True,True,2999.9999999914057,stable,1,0,,,,,True,materially changed
475585413_sweep_32_perisomatic_recording_grid_playback,475585413,32,long_square_prethreshold_candidate,Long Square,drifting,"[""gate_soma""]",True,True,2999.9999999914057,stable,0,0,0.0,-0.0693650829097317,-0.07884740309789057,9.482320188158866,True,materially changed
475585413_sweep_40_perisomatic_recording_grid_playback,475585413,40,long_square_first_spiking,Long Square,drifting,"[""gate_soma""]",True,True,2999.9999999914057,stable,0,0,0.0,-0.06837569557897719,-0.07884740309789057,10.471707518913382,True,materially changed
475585413_sweep_70_perisomatic_recording_grid_playback,475585413,70,short_square_triple_first_spiking,Short Square - Triple,drifting,"[""gate_soma""]",True,True,2999.9999999914057,stable,3,0,,,,,True,materially changed
473943881_sweep_16_perisomatic_recording_grid_playback,473943881,16,short_square_first_spiking,Short Square,drifting,"[""gate_soma"",""i_membrane__soma""]",True,True,2999.9999999914057,stable,1,0,,,,,True,materially changed
473943881_sweep_41_perisomatic_recording_grid_playback,473943881,41,long_square_first_spiking,Long Square,drifting,"[""gate_soma"",""i_membrane__soma""]",True,True,2999.9999999914057,stable,0,0,0.0,-0.06828745523750791,-0.08358183391263199,15.29437867512408,True,materially changed
473943881_sweep_49_perisomatic_recording_grid_playback,473943881,49,long_square_prethreshold_candidate,Long Square,drifting,"[""gate_soma"",""i_membrane__soma""]",True,True,2999.9999999914057,stable,0,0,0.0,-0.06916866727243762,-0.08358183391263199,14.413166640194374,True,materially changed
473943881_sweep_77_perisomatic_recording_grid_playback,473943881,77,short_square_triple_first_spiking,Short Square - Triple,drifting,"[""gate_soma""]",True,True,2999.9999999914057,stable,2,0,,,,,True,materially changed
464188580_sweep_19_perisomatic_recording_grid_playback,464188580,19,short_square_first_spiking,Short Square,drifting,"[""gate_soma""]",True,True,2999.9999999914057,stable,0,0,0.0,,,,False,drifting
464188580_sweep_39_perisomatic_recording_grid_playback,464188580,39,long_square_first_spiking,Long Square,drifting,"[""gate_soma""]",True,True,2999.9999999914057,stable,0,0,0.0,-0.06817633983046592,-0.09361643937276626,25.440099542300338,True,materially changed
464188580_sweep_47_perisomatic_recording_grid_playback,464188580,47,long_square_prethreshold_candidate,Long Square,drifting,"[""gate_soma""]",True,True,2999.9999999914057,stable,0,0,0.0,-0.06983122600658107,-0.09361643937276626,23.785213366185193,True,materially changed
464188580_sweep_82_perisomatic_recording_grid_playback,464188580,82,short_square_triple_first_spiking,Short Square - Triple,drifting,"[""gate_soma""]",True,True,2999.9999999914057,stable,2,0,,,,,True,materially changed
