case_number,specimen_id,analytical_stratum,sweep_number,recording_selection,stimulus_label,model_condition,model_family,model_id,model_dt_s,recorded_stimulus_window_spike_count,model_stimulus_window_spike_count,absolute_spike_count_error,absolute_first_spike_latency_error_ms,latency_status,latency_non_evaluable_reason,absolute_steady_state_delta_voltage_error_mV,steady_state_status,steady_state_non_evaluable_reason,recording_baseline_coverage,recording_steady_state_coverage,model_baseline_coverage,model_steady_state_coverage,fitting_exposure_status
13,324493977,evaluation,46,long_square_first_spiking,Long Square,glif_stored_grid,glif,566284334,0.00005,1,0,1,,non_evaluable,no_in_window_spike,4.080681705127084,calculated,,1.0,1.0,1.0,1.0,sweep_exposure_during_fitting_unknown
14,324493977,evaluation,46,long_square_first_spiking,Long Square,glif_recording_grid,glif,566284334,0.000005,1,0,1,,non_evaluable,no_in_window_spike,4.080681705132573,calculated,,1.0,1.0,1.0,1.0,sweep_exposure_during_fitting_unknown
16,324493977,evaluation,16,short_square_first_spiking,Short Square,glif_stored_grid,glif,566284334,0.00005,0,0,0,,non_evaluable,no_in_window_spike,,non_evaluable,not_applicable_to_protocol,,,,,sweep_exposure_during_fitting_unknown
17,324493977,evaluation,16,short_square_first_spiking,Short Square,glif_recording_grid,glif,566284334,0.000005,0,0,0,,non_evaluable,no_in_window_spike,,non_evaluable,not_applicable_to_protocol,,,,,sweep_exposure_during_fitting_unknown
19,324493977,evaluation,69,short_square_triple_first_spiking,Short Square - Triple,glif_stored_grid,glif,566284334,0.00005,3,1,2,5.74276701959775,calculated,,,non_evaluable,not_applicable_to_protocol,,,,,sweep_exposure_during_fitting_unknown
20,324493977,evaluation,69,short_square_triple_first_spiking,Short Square - Triple,glif_recording_grid,glif,566284334,0.000005,3,2,1,5.747017137424315,calculated,,,non_evaluable,not_applicable_to_protocol,,,,,sweep_exposure_during_fitting_unknown
22,324493977,evaluation,37,long_square_prethreshold_candidate,Long Square,glif_stored_grid,glif,566284334,0.00005,0,0,0,,non_evaluable,no_in_window_spike,1.3109390549452815,calculated,,1.0,1.0,1.0,1.0,sweep_exposure_during_fitting_unknown
23,324493977,evaluation,37,long_square_prethreshold_candidate,Long Square,glif_recording_grid,glif,566284334,0.000005,0,0,0,,non_evaluable,no_in_window_spike,1.3109390549507771,calculated,,1.0,1.0,1.0,1.0,sweep_exposure_during_fitting_unknown
25,473943881,evaluation,41,long_square_first_spiking,Long Square,glif_stored_grid,glif,566305790,0.00005,2,0,2,,non_evaluable,no_in_window_spike,4.207219319733252,calculated,,1.0,0.97601,1.0,1.0,sweep_exposure_during_fitting_unknown
26,473943881,evaluation,41,long_square_first_spiking,Long Square,glif_recording_grid,glif,566305790,0.000005,2,0,2,,non_evaluable,no_in_window_spike,4.207219319735472,calculated,,1.0,0.97601,1.0,1.0,sweep_exposure_during_fitting_unknown
28,473943881,evaluation,16,short_square_first_spiking,Short Square,glif_stored_grid,glif,566305790,0.00005,0,0,0,,non_evaluable,no_in_window_spike,,non_evaluable,not_applicable_to_protocol,,,,,sweep_exposure_during_fitting_unknown
29,473943881,evaluation,16,short_square_first_spiking,Short Square,glif_recording_grid,glif,566305790,0.000005,0,0,0,,non_evaluable,no_in_window_spike,,non_evaluable,not_applicable_to_protocol,,,,,sweep_exposure_during_fitting_unknown
31,473943881,evaluation,77,short_square_triple_first_spiking,Short Square - Triple,glif_stored_grid,glif,566305790,0.00005,2,1,1,13.413945370662539,calculated,,,non_evaluable,not_applicable_to_protocol,,,,,sweep_exposure_during_fitting_unknown
32,473943881,evaluation,77,short_square_triple_first_spiking,Short Square - Triple,glif_recording_grid,glif,566305790,0.000005,2,1,1,13.42118996201025,calculated,,,non_evaluable,not_applicable_to_protocol,,,,,sweep_exposure_during_fitting_unknown
34,473943881,evaluation,49,long_square_prethreshold_candidate,Long Square,glif_stored_grid,glif,566305790,0.00005,0,0,0,,non_evaluable,no_in_window_spike,3.8610378484060655,calculated,,1.0,1.0,1.0,1.0,sweep_exposure_during_fitting_unknown
