specimen_id,analytical_stratum,sweep_number,recording_selection,stimulus_label,comparability,included_in_evaluation_comparison,fitting_exposure_status,model_conditions
314822529,method_development,44,method_development_raw_label,Long Square,method_development_raw_label_only,False,sweep_exposure_during_fitting_unknown,"[""glif_stored_grid"",""glif_recording_grid"",""perisomatic_recording_grid_playback""]"
314822529,method_development,17,method_development_raw_label,Short Square,method_development_raw_label_only,False,sweep_exposure_during_fitting_unknown,"[""glif_stored_grid"",""glif_recording_grid"",""perisomatic_recording_grid_playback""]"
314822529,method_development,75,method_development_raw_label,Short Square - Triple,method_development_raw_label_only,False,sweep_exposure_during_fitting_unknown,"[""glif_stored_grid"",""glif_recording_grid"",""perisomatic_recording_grid_playback""]"
314822529,method_development,66,method_development_raw_label,Square - 2s Suprathreshold,method_development_raw_label_only,False,sweep_exposure_during_fitting_unknown,"[""glif_stored_grid"",""glif_recording_grid"",""perisomatic_recording_grid_playback""]"
324493977,evaluation,46,long_square_first_spiking,Long Square,prospective_role_equivalent,True,sweep_exposure_during_fitting_unknown,"[""glif_stored_grid"",""glif_recording_grid"",""perisomatic_recording_grid_playback""]"
324493977,evaluation,16,short_square_first_spiking,Short Square,prospective_role_equivalent,True,sweep_exposure_during_fitting_unknown,"[""glif_stored_grid"",""glif_recording_grid"",""perisomatic_recording_grid_playback""]"
324493977,evaluation,69,short_square_triple_first_spiking,Short Square - Triple,prospective_role_equivalent,True,sweep_exposure_during_fitting_unknown,"[""glif_stored_grid"",""glif_recording_grid"",""perisomatic_recording_grid_playback""]"
324493977,evaluation,37,long_square_prethreshold_candidate,Long Square,prospective_role_equivalent,True,sweep_exposure_during_fitting_unknown,"[""glif_stored_grid"",""glif_recording_grid"",""perisomatic_recording_grid_playback""]"
473943881,evaluation,41,long_square_first_spiking,Long Square,prospective_role_equivalent,True,sweep_exposure_during_fitting_unknown,"[""glif_stored_grid"",""glif_recording_grid"",""perisomatic_recording_grid_playback""]"
473943881,evaluation,16,short_square_first_spiking,Short Square,prospective_role_equivalent,True,sweep_exposure_during_fitting_unknown,"[""glif_stored_grid"",""glif_recording_grid"",""perisomatic_recording_grid_playback""]"
473943881,evaluation,77,short_square_triple_first_spiking,Short Square - Triple,prospective_role_equivalent,True,sweep_exposure_during_fitting_unknown,"[""glif_stored_grid"",""glif_recording_grid"",""perisomatic_recording_grid_playback""]"
473943881,evaluation,49,long_square_prethreshold_candidate,Long Square,prospective_role_equivalent,True,sweep_exposure_during_fitting_unknown,"[""glif_stored_grid"",""glif_recording_grid"",""perisomatic_recording_grid_playback""]"
471087830,evaluation,49,long_square_first_spiking,Long Square,prospective_role_equivalent,True,sweep_exposure_during_fitting_unknown,"[""glif_stored_grid"",""glif_recording_grid"",""perisomatic_recording_grid_playback""]"
471087830,evaluation,15,short_square_first_spiking,Short Square,prospective_role_equivalent,True,sweep_exposure_during_fitting_unknown,"[""glif_stored_grid"",""glif_recording_grid"",""perisomatic_recording_grid_playback""]"
471087830,evaluation,90,short_square_triple_first_spiking,Short Square - Triple,prospective_role_equivalent,True,sweep_exposure_during_fitting_unknown,"[""glif_stored_grid"",""glif_recording_grid"",""perisomatic_recording_grid_playback""]"
471087830,evaluation,48,long_square_prethreshold_candidate,Long Square,prospective_role_equivalent,True,sweep_exposure_during_fitting_unknown,"[""glif_stored_grid"",""glif_recording_grid"",""perisomatic_recording_grid_playback""]"
475585413,evaluation,40,long_square_first_spiking,Long Square,prospective_role_equivalent,True,sweep_exposure_during_fitting_unknown,"[""glif_stored_grid"",""glif_recording_grid"",""perisomatic_recording_grid_playback""]"
475585413,evaluation,12,short_square_first_spiking,Short Square,prospective_role_equivalent,True,sweep_exposure_during_fitting_unknown,"[""glif_stored_grid"",""glif_recording_grid"",""perisomatic_recording_grid_playback""]"
475585413,evaluation,70,short_square_triple_first_spiking,Short Square - Triple,prospective_role_equivalent,True,sweep_exposure_during_fitting_unknown,"[""glif_stored_grid"",""glif_recording_grid"",""perisomatic_recording_grid_playback""]"
475585413,evaluation,32,long_square_prethreshold_candidate,Long Square,prospective_role_equivalent,True,sweep_exposure_during_fitting_unknown,"[""glif_stored_grid"",""glif_recording_grid"",""perisomatic_recording_grid_playback""]"
464188580,evaluation,39,long_square_first_spiking,Long Square,prospective_role_equivalent,True,sweep_exposure_during_fitting_unknown,"[""glif_stored_grid"",""glif_recording_grid"",""perisomatic_recording_grid_playback""]"
464188580,evaluation,19,short_square_first_spiking,Short Square,prospective_role_equivalent,True,sweep_exposure_during_fitting_unknown,"[""glif_stored_grid"",""glif_recording_grid"",""perisomatic_recording_grid_playback""]"
464188580,evaluation,82,short_square_triple_first_spiking,Short Square - Triple,prospective_role_equivalent,True,sweep_exposure_during_fitting_unknown,"[""glif_stored_grid"",""glif_recording_grid"",""perisomatic_recording_grid_playback""]"
464188580,evaluation,47,long_square_prethreshold_candidate,Long Square,prospective_role_equivalent,True,sweep_exposure_during_fitting_unknown,"[""glif_stored_grid"",""glif_recording_grid"",""perisomatic_recording_grid_playback""]"
